keyword;label
ASSA;ASSA
Adi Sarana Armada Tbk.;ASSA
Adi Sarana Armada Tbk;ASSA
Adi Sarana Armada;ASSA
ATAP;ATAP
Trimitra Prawara Goldland Tbk.;ATAP
Trimitra Prawara Goldland Tbk;ATAP
Trimitra Prawara Goldland;ATAP
ATIC;ATIC
Anabatic Technologies Tbk.;ATIC
Anabatic Technologies Tbk;ATIC
Anabatic Technologies;ATIC
ATLA;ATLA
Atlantis Subsea Indonesia Tbk.;ATLA
Atlantis Subsea Indonesia Tbk;ATLA
Atlantis Subsea Indonesia;ATLA
AUTO;AUTO
Astra Otoparts Tbk.;AUTO
Astra Otoparts Tbk;AUTO
Astra Otoparts;AUTO
AVIA;AVIA
Avia Avian Tbk.;AVIA
Avia Avian Tbk;AVIA
Avia Avian;AVIA
AWAN;AWAN
Era Digital Media Tbk.;AWAN
Era Digital Media Tbk;AWAN
Era Digital Media;AWAN
AXIO;AXIO
Tera Data Indonusa Tbk.;AXIO
Tera Data Indonusa Tbk;AXIO
Tera Data Indonusa;AXIO
AYAM;AYAM
Janu Putra Sejahtera Tbk.;AYAM
Janu Putra Sejahtera Tbk;AYAM
Janu Putra Sejahtera;AYAM
AYLS;AYLS
Arkayana Lestari Grup Tbk.;AYLS
Arkayana Lestari Grup Tbk;AYLS
Arkayana Lestari Grup;AYLS
BABP;BABP
Bank MNC Internasional Tbk.;BABP
Bank MNC Internasional Tbk;BABP
Bank MNC Internasional;BABP
BABY;BABY
Multitrend Indo Tbk.;BABY
Multitrend Indo Tbk;BABY
Multitrend Indo;BABY
BACA;BACA
Bank Capital Indonesia Tbk.;BACA
Bank Capital Indonesia Tbk;BACA
Bank Capital Indonesia;BACA
BACH;BACH
Bach Multi Global Tbk.;BACH
Bach Multi Global Tbk;BACH
Bach Multi Global;BACH
BAIK;BAIK
Bersama Mencapai Puncak Tbk.;BAIK
Bersama Mencapai Puncak Tbk;BAIK
Bersama Mencapai Puncak;BAIK
BAJA;BAJA
Saranacentral Bajatama Tbk.;BAJA
Saranacentral Bajatama Tbk;BAJA
Saranacentral Bajatama;BAJA
BALI;BALI
Bali Towerindo Sentra Tbk.;BALI
Bali Towerindo Sentra Tbk;BALI
Bali Towerindo Sentra;BALI
BANK;BANK
Bank Aladin Syariah Tbk.;BANK
Bank Aladin Syariah Tbk;BANK
Bank Aladin Syariah;BANK
BAPA;BAPA
Bekasi Asri Pemula Tbk.;BAPA
Bekasi Asri Pemula Tbk;BAPA
Bekasi Asri Pemula;BAPA
BAPI;BAPI
Bhakti Agung Propertindo Tbk.;BAPI
Bhakti Agung Propertindo Tbk;BAPI
Bhakti Agung Propertindo;BAPI
BATA;BATA
Sepatu Bata Tbk.;BATA
Sepatu Bata Tbk;BATA
Sepatu Bata;BATA
BATR;BATR
Benteng Api Technic Tbk.;BATR
Benteng Api Technic Tbk;BATR
Benteng Api Technic;BATR
BAUT;BAUT
Mitra Angkasa Sejahtera Tbk.;BAUT
Mitra Angkasa Sejahtera Tbk;BAUT
Mitra Angkasa Sejahtera;BAUT
BAYU;BAYU
Bayu Buana Tbk.;BAYU
Bayu Buana Tbk;BAYU
Bayu Buana;BAYU
BBCA;BBCA
Bank Central Asia Tbk.;BBCA
Bank Central Asia Tbk;BBCA
Bank Central Asia;BBCA
BBHI;BBHI
Allo Bank Indonesia Tbk.;BBHI
Allo Bank Indonesia Tbk;BBHI
Allo Bank Indonesia;BBHI
BBKP;BBKP
Bank KB Indonesia Tbk.;BBKP
Bank KB Indonesia Tbk;BBKP
Bank KB Indonesia;BBKP
BBLD;BBLD
Buana Finance Tbk.;BBLD
Buana Finance Tbk;BBLD
Buana Finance;BBLD
BBMD;BBMD
Bank Mestika Dharma Tbk.;BBMD
Bank Mestika Dharma Tbk;BBMD
Bank Mestika Dharma;BBMD
BBNI;BBNI
Bank Negara Indonesia (Persero) Tbk.;BBNI
Bank Negara Indonesia (Persero) Tbk;BBNI
Bank Negara Indonesia (Persero);BBNI
BBRI;BBRI
Bank Rakyat Indonesia (Persero) Tbk.;BBRI
Bank Rakyat Indonesia (Persero) Tbk;BBRI
Bank Rakyat Indonesia (Persero);BBRI
BBRM;BBRM
Pelayaran Nasional Bina Buana Raya Tbk.;BBRM
Pelayaran Nasional Bina Buana Raya Tbk;BBRM
Pelayaran Nasional Bina Buana Raya;BBRM
BBSI;BBSI
Krom Bank Indonesia Tbk.;BBSI
Krom Bank Indonesia Tbk;BBSI
Krom Bank Indonesia;BBSI
BBSS;BBSS
Bumi Benowo Sukses Sejahtera Tbk.;BBSS
Bumi Benowo Sukses Sejahtera Tbk;BBSS
Bumi Benowo Sukses Sejahtera;BBSS
BBTN;BBTN
Bank Tabungan Negara (Persero) Tbk.;BBTN
Bank Tabungan Negara (Persero) Tbk;BBTN
Bank Tabungan Negara (Persero);BBTN
BBYB;BBYB
Bank Neo Commerce Tbk.;BBYB
Bank Neo Commerce Tbk;BBYB
Bank Neo Commerce;BBYB
BCAP;BCAP
MNC Kapital Indonesia Tbk.;BCAP
MNC Kapital Indonesia Tbk;BCAP
MNC Kapital Indonesia;BCAP
BCIC;BCIC
Bank JTrust Indonesia Tbk.;BCIC
Bank JTrust Indonesia Tbk;BCIC
Bank JTrust Indonesia;BCIC
BCIP;BCIP
Bumi Citra Permai Tbk.;BCIP
Bumi Citra Permai Tbk;BCIP
Bumi Citra Permai;BCIP
BDKR;BDKR
Berdikari Pondasi Perkasa Tbk.;BDKR
Berdikari Pondasi Perkasa Tbk;BDKR
Berdikari Pondasi Perkasa;BDKR
BDMN;BDMN
Bank Danamon Indonesia Tbk.;BDMN
Bank Danamon Indonesia Tbk;BDMN
Bank Danamon Indonesia;BDMN
BEBS;BEBS
Berkah Beton Sadaya Tbk.;BEBS
Berkah Beton Sadaya Tbk;BEBS
Berkah Beton Sadaya;BEBS
BEEF;BEEF
Estika Tata Tiara Tbk.;BEEF
Estika Tata Tiara Tbk;BEEF
Estika Tata Tiara;BEEF
BEER;BEER
Jobubu Jarum Minahasa Tbk.;BEER
Jobubu Jarum Minahasa Tbk;BEER
Jobubu Jarum Minahasa;BEER
BEKS;BEKS
Bank Pembangunan Daerah Banten Tbk.;BEKS
Bank Pembangunan Daerah Banten Tbk;BEKS
Bank Pembangunan Daerah Banten;BEKS
BELI;BELI
Global Digital Niaga Tbk.;BELI
Global Digital Niaga Tbk;BELI
Global Digital Niaga;BELI
BELL;BELL
Trisula Textile Industries Tbk.;BELL
Trisula Textile Industries Tbk;BELL
Trisula Textile Industries;BELL
BESS;BESS
Batulicin Nusantara Maritim Tbk.;BESS
Batulicin Nusantara Maritim Tbk;BESS
Batulicin Nusantara Maritim;BESS
BEST;BEST
Bekasi Fajar Industrial Estate Tbk.;BEST
Bekasi Fajar Industrial Estate Tbk;BEST
Bekasi Fajar Industrial Estate;BEST
BFIN;BFIN
BFI Finance  Indonesia Tbk.;BFIN
BFI Finance  Indonesia Tbk;BFIN
BFI Finance  Indonesia;BFIN
BGTG;BGTG
Bank Ganesha Tbk.;BGTG
Bank Ganesha Tbk;BGTG
Bank Ganesha;BGTG
BHAT;BHAT
Bhakti Multi Artha Tbk.;BHAT
Bhakti Multi Artha Tbk;BHAT
Bhakti Multi Artha;BHAT
BHIT;BHIT
MNC Asia Holding Tbk.;BHIT
MNC Asia Holding Tbk;BHIT
MNC Asia Holding;BHIT
BIKA;BIKA
Binakarya Jaya Abadi Tbk.;BIKA
Binakarya Jaya Abadi Tbk;BIKA
Binakarya Jaya Abadi;BIKA
BIKE;BIKE
Sepeda Bersama Indonesia Tbk.;BIKE
Sepeda Bersama Indonesia Tbk;BIKE
Sepeda Bersama Indonesia;BIKE
BIMA;BIMA
Primarindo Asia Infrastructure Tbk.;BIMA
Primarindo Asia Infrastructure Tbk;BIMA
Primarindo Asia Infrastructure;BIMA
BINA;BINA
Bank Ina Perdana Tbk.;BINA
Bank Ina Perdana Tbk;BINA
Bank Ina Perdana;BINA
BINO;BINO
Perma Plasindo Tbk.;BINO
Perma Plasindo Tbk;BINO
Perma Plasindo;BINO
BIPI;BIPI
Astrindo Nusantara Infrastruktur Tbk.;BIPI
Astrindo Nusantara Infrastruktur Tbk;BIPI
Astrindo Nusantara Infrastruktur;BIPI
BIPP;BIPP
Bhuwanatala Indah Permai Tbk.;BIPP
Bhuwanatala Indah Permai Tbk;BIPP
Bhuwanatala Indah Permai;BIPP
BIRD;BIRD
Blue Bird Tbk.;BIRD
Blue Bird Tbk;BIRD
Blue Bird;BIRD
BISI;BISI
BISI International Tbk.;BISI
BISI International Tbk;BISI
BISI International;BISI
BJBR;BJBR
Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.;BJBR
Bank Pembangunan Daerah Jawa Barat dan Banten Tbk;BJBR
Bank Pembangunan Daerah Jawa Barat dan Banten;BJBR
BJTM;BJTM
Bank Pembangunan Daerah Jawa Timur Tbk.;BJTM
Bank Pembangunan Daerah Jawa Timur Tbk;BJTM
Bank Pembangunan Daerah Jawa Timur;BJTM
BKDP;BKDP
Bukit Darmo Property Tbk.;BKDP
Bukit Darmo Property Tbk;BKDP
Bukit Darmo Property;BKDP
BKSL;BKSL
Sentul City Tbk.;BKSL
Sentul City Tbk;BKSL
Sentul City;BKSL
BKSW;BKSW
Bank QNB Indonesia Tbk.;BKSW
Bank QNB Indonesia Tbk;BKSW
Bank QNB Indonesia;BKSW
BLES;BLES
Superior Prima Sukses Tbk.;BLES
Superior Prima Sukses Tbk;BLES
Superior Prima Sukses;BLES
BLOG;BLOG
Trimitra Trans Persada Tbk.;BLOG
Trimitra Trans Persada Tbk;BLOG
Trimitra Trans Persada;BLOG
BLTA;BLTA
Berlian Laju Tanker Tbk.;BLTA
Berlian Laju Tanker Tbk;BLTA
Berlian Laju Tanker;BLTA
BLTZ;BLTZ
Graha Layar Prima Tbk.;BLTZ
Graha Layar Prima Tbk;BLTZ
Graha Layar Prima;BLTZ
BLUE;BLUE
Berkah Prima Perkasa Tbk.;BLUE
Berkah Prima Perkasa Tbk;BLUE
Berkah Prima Perkasa;BLUE
BMAS;BMAS
Bank Kasikorn Indonesia Tbk.;BMAS
Bank Kasikorn Indonesia Tbk;BMAS
Bank Kasikorn Indonesia;BMAS
BMBL;BMBL
Lavender Bina Cendikia Tbk.;BMBL
Lavender Bina Cendikia Tbk;BMBL
Lavender Bina Cendikia;BMBL
BMHS;BMHS
Bundamedik Tbk.;BMHS
Bundamedik Tbk;BMHS
Bundamedik;BMHS
BMRI;BMRI
Bank Mandiri (Persero) Tbk.;BMRI
Bank Mandiri (Persero) Tbk;BMRI
Bank Mandiri (Persero);BMRI
BMSR;BMSR
Bintang Mitra Semestaraya Tbk.;BMSR
Bintang Mitra Semestaraya Tbk;BMSR
Bintang Mitra Semestaraya;BMSR
BMTR;BMTR
Global Mediacom Tbk.;BMTR
Global Mediacom Tbk;BMTR
Global Mediacom;BMTR
BNBA;BNBA
Bank Bumi Arta Tbk.;BNBA
Bank Bumi Arta Tbk;BNBA
